"Latitude (decimal degrees):	36.924"
"Longitude (decimal degrees):	14.697"
"Elevation (m):	626"
"Radiation database:	PVGIS-SARAH2"


Slope: 32 deg. (optimum)
Azimuth: -6 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200327:0909,0.0,110.92,1.8,46.35,9.34,5.1,0.0
20200327:1009,0.0,114.62,1.86,53.23,9.65,4.97,0.0
20200327:1109,778.36,230.18,12.75,55.68,10.59,4.83,0.0
20200327:1209,0.0,98.91,1.61,52.77,11.87,5.52,0.0
20200327:1309,0.0,70.25,1.14,45.58,11.04,6.28,0.0
20200327:1409,5.62,205.66,3.41,35.83,11.05,5.52,0.0
20200327:1509,317.6,101.0,5.98,24.74,10.81,4.28,0.0
20200327:1609,106.84,60.47,2.81,13.0,10.48,2.34,0.0
20200327:1709,0.0,0.0,0.0,0.0,10.08,2.28,0.0
20200327:1809,0.0,0.0,0.0,0.0,9.08,3.52,0.0
20200327:1909,0.0,0.0,0.0,0.0,8.62,4.55,0.0
20200327:2009,0.0,0.0,0.0,0.0,8.43,4.07,0.0
20200327:2109,0.0,0.0,0.0,0.0,8.02,3.45,0.0
20200327:2209,0.0,0.0,0.0,0.0,7.44,3.03,0.0
20200327:2309,0.0,0.0,0.0,0.0,7.12,3.1,0.0
20200328:0009,0.0,0.0,0.0,0.0,7.05,3.24,0.0
20200328:0109,0.0,0.0,0.0,0.0,7.25,3.24,0.0
20200328:0209,0.0,0.0,0.0,0.0,7.28,3.1,0.0
20200328:0309,0.0,0.0,0.0,0.0,7.17,3.03,0.0
20200328:0409,0.0,0.0,0.0,0.0,7.17,2.97,0.0
20200328:0509,0.0,3.7,0.06,2.4,7.27,3.1,0.0
20200328:0609,18.53,97.44,1.76,14.37,8.4,2.97,0.0
20200328:0709,14.03,169.82,2.9,26.08,10.0,5.24,0.0
20200328:0809,51.33,274.61,4.98,37.11,10.96,5.93,0.0
20200328:0909,208.6,366.2,8.06,46.72,11.73,6.34,0.0
20200328:1009,360.61,389.1,10.1,53.63,12.4,6.48,0.0
20200328:1109,389.27,394.94,10.6,56.07,12.8,6.69,0.0
20200328:1209,475.04,343.13,10.91,53.11,13.01,6.76,0.0
20200328:1309,499.29,264.54,10.21,45.85,12.99,6.69,0.0
20200328:1409,330.6,232.96,7.83,36.05,12.81,6.48,0.0
20200328:1509,209.16,158.82,5.38,24.93,12.47,6.21,0.0
20200328:1609,63.19,84.26,2.47,13.17,12.04,5.86,0.0
20200328:1709,0.0,0.0,0.0,0.0,11.24,4.83,0.0
20200328:1809,0.0,0.0,0.0,0.0,10.43,4.0,0.0
20200328:1909,0.0,0.0,0.0,0.0,9.89,3.45,0.0
20200328:2009,0.0,0.0,0.0,0.0,9.61,2.83,0.0
20200328:2109,0.0,0.0,0.0,0.0,9.25,2.62,0.0
20200328:2209,0.0,0.0,0.0,0.0,8.96,2.48,0.0
20200328:2309,0.0,0.0,0.0,0.0,8.62,2.28,0.0
20200329:0009,0.0,0.0,0.0,0.0,8.32,2.14,0.0
20200329:0109,0.0,0.0,0.0,0.0,8.0,2.07,0.0
20200329:0209,0.0,0.0,0.0,0.0,7.61,2.0,0.0
20200329:0309,0.0,0.0,0.0,0.0,7.22,1.66,0.0
20200329:0409,0.0,0.0,0.0,0.0,6.93,1.24,0.0
20200329:0509,1.61,10.09,0.18,2.7,6.86,1.52,0.0
20200329:0609,202.16,75.2,3.32,14.67,7.69,1.66,0.0
20200329:0709,422.54,114.81,6.51,26.39,10.05,2.28,0.0
20200329:0809,610.98,149.85,9.32,37.44,11.63,2.83,0.0
20200329:0909,546.53,278.28,10.48,47.08,12.61,3.52,0.0
20200329:1009,251.05,408.48,9.25,54.02,13.56,3.86,0.0
20200329:1109,370.82,400.73,10.51,56.46,14.09,3.72,0.0
20200329:1209,311.72,391.37,9.79,53.44,14.37,3.38,0.0
20200329:1309,699.14,161.19,11.32,46.12,14.37,3.17,0.0
20200329:1409,316.34,239.72,7.79,36.27,14.19,3.31,0.0
20200329:1509,39.39,186.13,3.55,25.11,13.74,3.24,0.0
20200329:1609,1.68,68.42,1.14,13.34,13.07,2.76,0.0
20200329:1709,0.0,0.0,0.0,0.0,12.24,1.72,0.0
20200329:1809,0.0,0.0,0.0,0.0,11.24,1.1,0.0
20200329:1909,0.0,0.0,0.0,0.0,10.55,2.21,0.0
20200329:2009,0.0,0.0,0.0,0.0,9.94,1.79,0.0
20200329:2109,0.0,0.0,0.0,0.0,9.66,1.79,0.0
20200329:2209,0.0,0.0,0.0,0.0,9.38,1.93,0.0
20200329:2309,0.0,0.0,0.0,0.0,9.22,1.72,0.0
20200330:0009,0.0,0.0,0.0,0.0,8.9,1.66,0.0
20200330:0109,0.0,0.0,0.0,0.0,8.86,1.72,0.0
20200330:0209,0.0,0.0,0.0,0.0,8.91,1.72,0.0
20200330:0309,0.0,0.0,0.0,0.0,8.91,1.52,0.0
20200330:0409,0.0,0.0,0.0,0.0,8.71,1.38,0.0
20200330:0509,0.0,2.77,0.05,3.0,8.65,1.52,0.0
20200330:0609,0.0,44.37,0.72,14.97,8.72,1.59,0.0
20200330:0709,0.0,85.97,1.4,26.7,9.17,2.14,0.0
20200330:0809,0.0,90.59,1.47,37.77,9.44,2.14,0.0
20200330:0909,0.0,141.43,2.3,47.45,9.82,2.14,0.0
20200330:1009,4.83,284.23,4.68,54.42,9.87,2.0,0.0
20200330:1109,9.53,312.44,5.19,56.84,9.98,2.14,0.0
20200330:1209,1.17,258.91,4.22,53.77,10.34,2.55,0.0
20200330:1309,14.87,283.32,4.78,46.38,10.36,2.69,0.0
20200330:1409,11.03,224.61,3.79,36.48,10.95,2.55,0.0
20200330:1509,1.03,122.07,2.0,25.3,11.17,2.41,0.0
20200330:1609,6.6,83.26,1.47,13.52,10.99,2.14,0.0
20200330:1709,0.0,0.0,0.0,0.0,10.71,1.93,0.0
20200330:1809,0.0,0.0,0.0,0.0,10.04,2.41,0.0
20200330:1909,0.0,0.0,0.0,0.0,9.37,3.03,0.0
20200330:2009,0.0,0.0,0.0,0.0,8.88,2.76,0.0
20200330:2109,0.0,0.0,0.0,0.0,8.44,2.48,0.0
20200330:2209,0.0,0.0,0.0,0.0,8.07,2.48,0.0
20200330:2309,0.0,0.0,0.0,0.0,7.84,2.48,0.0
20200331:0009,0.0,0.0,0.0,0.0,7.59,2.34,0.0
20200331:0109,0.0,0.0,0.0,0.0,7.27,2.14,0.0
20200331:0209,0.0,0.0,0.0,0.0,6.9,1.93,0.0
20200331:0309,0.0,0.0,0.0,0.0,6.58,1.79,0.0
20200331:0409,0.0,0.0,0.0,0.0,6.38,1.79,0.0
20200331:0509,1.39,14.69,0.26,3.29,6.24,1.86,0.0
20200331:0609,209.2,76.67,3.5,15.27,7.22,1.38,0.0
20200331:0709,430.71,115.14,6.71,27.01,10.97,1.1,0.0
20200331:0809,641.91,135.89,9.61,38.11,12.68,1.17,0.0
20200331:0909,800.22,150.96,11.85,47.81,13.69,1.45,0.0
20200331:1009,534.9,339.37,11.43,54.81,14.33,2.28,0.0
20200331:1109,664.08,296.65,12.48,57.23,14.71,3.38,0.0
20200331:1209,847.5,160.45,13.06,54.11,14.86,3.93,0.0
20200331:1309,808.24,93.07,11.92,46.65,14.5,4.21,0.0
20200331:1409,566.8,112.44,9.34,36.7,14.21,4.41,0.0
20200331:1509,225.14,153.13,5.62,25.48,13.96,4.14,0.0
20200331:1609,99.87,67.39,2.95,13.69,13.32,3.52,0.0
20200331:1709,0.0,0.0,0.0,0.0,12.43,3.03,0.0
20200331:1809,0.0,0.0,0.0,0.0,11.4,2.9,0.0
20200331:1909,0.0,0.0,0.0,0.0,11.05,2.41,0.0
20200331:2009,0.0,0.0,0.0,0.0,10.68,2.41,0.0
20200331:2109,0.0,0.0,0.0,0.0,10.53,2.41,0.0
20200331:2209,0.0,0.0,0.0,0.0,10.38,2.28,0.0
20200331:2309,0.0,0.0,0.0,0.0,10.4,2.28,0.0
20200401:0009,0.0,0.0,0.0,0.0,10.34,2.0,0.0
20200401:0109,0.0,0.0,0.0,0.0,10.22,2.41,0.0
20200401:0209,0.0,0.0,0.0,0.0,10.46,2.69,0.0
20200401:0309,0.0,0.0,0.0,0.0,10.39,2.48,0.0
20200401:0409,0.0,0.0,0.0,0.0,10.66,2.34,0.0
20200401:0509,0.0,4.62,0.08,3.59,10.6,2.07,0.0
20200401:0609,57.54,115.76,2.47,15.56,10.87,1.72,0.0
20200401:0709,247.01,190.75,5.71,27.32,12.22,2.69,0.0
20200401:0809,40.35,271.92,4.84,38.43,13.44,3.1,0.0
20200401:0909,413.91,326.97,9.79,48.17,14.16,3.24,0.0
20200401:1009,659.4,279.62,12.09,55.2,14.96,3.24,0.0
20200401:1109,950.53,128.62,13.79,57.61,15.76,3.72,0.0
20200401:1209,489.76,335.56,11.12,54.43,16.21,4.62,0.0
20200401:1309,769.1,111.23,11.71,46.91,16.26,5.38,0.0
20200401:1409,380.29,209.84,8.28,36.91,16.01,5.45,0.0
20200401:1509,270.69,127.12,5.92,25.67,15.74,4.9,0.0
20200401:1609,95.05,68.92,2.92,13.86,15.38,3.72,0.0
20200401:1709,0.0,0.0,0.0,0.0,14.55,2.48,0.0
20200401:1809,0.0,0.0,0.0,0.0,13.28,2.07,0.0
20200401:1909,0.0,0.0,0.0,0.0,12.47,2.0,0.0
20200401:2009,0.0,0.0,0.0,0.0,11.63,2.48,0.0
20200401:2109,0.0,0.0,0.0,0.0,10.76,2.83,0.0
20200401:2209,0.0,0.0,0.0,0.0,9.9,3.38,0.0
20200401:2309,0.0,0.0,0.0,0.0,9.38,3.52,0.0
20200402:0009,0.0,0.0,0.0,0.0,9.05,3.52,0.0
20200402:0109,0.0,0.0,0.0,0.0,9.18,3.52,0.0
20200402:0209,0.0,0.0,0.0,0.0,8.82,3.59,0.0
20200402:0309,0.0,0.0,0.0,0.0,8.69,3.38,0.0
20200402:0409,0.0,0.0,0.0,0.0,8.7,3.38,0.0
20200402:0509,0.0,4.62,0.08,3.88,9.02,3.45,0.0
20200402:0609,0.0,29.58,0.48,15.86,9.4,3.52,0.0
20200402:0709,12.26,175.05,2.98,27.63,10.59,5.1,0.0
20200402:0809,0.0,67.48,1.1,38.76,11.23,5.45,0.0
20200402:0909,15.66,291.87,4.92,48.53,12.0,5.24,0.0
20200402:1009,0.0,101.68,1.65,55.59,11.89,5.66,0.0
20200402:1109,10.58,317.14,5.28,58.0,11.17,5.24,0.0
20200402:1209,17.33,322.43,5.44,54.76,11.16,5.93,0.0
20200402:1309,3.38,244.29,4.01,47.17,11.41,6.21,0.0
20200402:1409,0.0,95.21,1.55,37.12,11.63,6.69,0.0
20200402:1509,0.0,86.89,1.41,25.85,11.35,6.62,0.0
20200402:1609,2.36,74.87,1.26,14.03,10.91,6.21,0.0
20200402:1709,0.0,0.0,0.0,0.0,10.19,6.0,0.0
20200402:1809,0.0,0.0,0.0,0.0,9.69,6.07,0.0
20200402:1909,0.0,0.0,0.0,0.0,9.53,5.03,0.0
20200402:2009,0.0,0.0,0.0,0.0,9.41,4.83,0.0
20200402:2109,0.0,0.0,0.0,0.0,9.29,4.76,0.0
20200402:2209,0.0,0.0,0.0,0.0,9.41,5.1,0.0
20200402:2309,0.0,0.0,0.0,0.0,9.49,5.38,0.0
20200403:0009,0.0,0.0,0.0,0.0,9.53,5.66,0.0
20200403:0109,0.0,0.0,0.0,0.0,9.18,5.86,0.0
20200403:0209,0.0,0.0,0.0,0.0,9.12,5.72,0.0
20200403:0309,0.0,0.0,0.0,0.0,9.13,5.93,0.0
20200403:0409,0.0,0.0,0.0,0.0,9.07,6.41,0.0
20200403:0509,0.0,9.24,0.15,4.17,9.02,6.69,0.0
20200403:0609,0.0,72.1,1.17,16.15,9.38,6.48,0.0
20200403:0709,0.0,63.78,1.04,27.93,10.35,6.83,0.0
20200403:0809,118.46,304.91,6.19,39.09,10.72,7.24,0.0
20200403:0909,202.59,373.15,8.21,48.89,11.3,7.93,0.0
20200403:1009,36.78,359.99,6.25,55.98,11.94,8.21,0.0
20200403:1109,241.19,425.65,9.56,58.38,12.59,8.41,0.0
20200403:1209,40.26,360.14,6.31,55.08,12.59,8.34,0.0
20200403:1309,28.04,310.5,5.38,47.42,12.55,8.28,0.0
20200403:1409,110.89,286.72,6.04,37.33,12.28,7.86,0.0
20200403:1509,42.7,192.38,3.73,26.03,12.14,7.17,0.0
20200403:1609,23.98,96.83,2.04,14.19,11.77,6.62,0.0
20200403:1709,0.0,0.0,0.0,0.0,11.27,5.72,0.0
20200403:1809,0.0,0.0,0.0,0.0,11.02,5.52,0.0
20200403:1909,0.0,0.0,0.0,0.0,10.54,4.55,0.0
20200403:2009,0.0,0.0,0.0,0.0,10.48,4.34,0.0
20200403:2109,0.0,0.0,0.0,0.0,10.3,4.0,0.0
20200403:2209,0.0,0.0,0.0,0.0,10.16,3.66,0.0
20200403:2309,0.0,0.0,0.0,0.0,10.09,3.52,0.0
20200404:0009,0.0,0.0,0.0,0.0,10.03,3.17,0.0
20200404:0109,0.0,0.0,0.0,0.0,9.76,2.97,0.0
20200404:0209,0.0,0.0,0.0,0.0,9.61,2.62,0.0
20200404:0309,0.0,0.0,0.0,0.0,9.44,2.55,0.0
20200404:0409,0.0,0.0,0.0,0.0,9.27,2.41,0.0
20200404:0509,1.13,19.3,0.33,4.46,9.07,2.21,0.0
20200404:0609,28.88,118.7,2.24,16.44,9.43,2.0,0.0
20200404:0709,286.08,188.05,6.21,28.23,11.02,2.34,0.0
20200404:0809,468.77,232.09,9.05,39.41,12.1,2.0,0.0
20200404:0909,643.1,244.76,11.41,49.24,13.2,2.14,0.0
20200404:1009,907.25,156.78,13.61,56.36,14.08,2.28,0.0
20200404:1109,928.08,155.53,14.03,58.76,14.65,2.69,0.0
20200404:1209,942.63,103.88,13.76,55.41,15.24,2.9,0.0
20200404:1309,756.72,128.68,11.95,47.68,15.61,2.97,0.0
20200404:1409,160.52,290.91,6.75,37.53,15.48,3.17,0.0
20200404:1509,247.17,145.02,5.97,26.21,15.23,3.93,0.0
20200404:1609,86.79,77.15,2.99,14.36,14.53,4.07,0.0
20200404:1709,0.0,5.28,0.09,2.38,13.43,3.86,0.0
20200404:1809,0.0,0.0,0.0,0.0,12.05,3.38,0.0
20200404:1909,0.0,0.0,0.0,0.0,11.31,1.79,0.0
20200404:2009,0.0,0.0,0.0,0.0,10.43,1.79,0.0
20200404:2109,0.0,0.0,0.0,0.0,9.71,1.86,0.0
20200404:2209,0.0,0.0,0.0,0.0,9.26,2.14,0.0
20200404:2309,0.0,0.0,0.0,0.0,8.96,2.34,0.0
20200405:0009,0.0,0.0,0.0,0.0,8.72,2.62,0.0
20200405:0109,0.0,0.0,0.0,0.0,8.43,2.76,0.0
20200405:0209,0.0,0.0,0.0,0.0,8.3,2.97,0.0
20200405:0309,0.0,0.0,0.0,0.0,8.38,3.1,0.0
20200405:0409,0.0,0.0,0.0,0.0,8.32,3.31,0.0
20200405:0509,3.24,23.62,0.44,4.75,8.25,3.31,0.0
20200405:0609,192.59,92.61,3.73,16.73,9.32,3.1,0.0
20200405:0709,393.02,139.84,6.83,28.53,11.1,3.59,0.0
20200405:0809,583.33,172.07,9.64,39.73,12.64,3.79,0.0
20200405:0909,766.01,172.68,11.98,49.6,13.9,3.66,0.0
20200405:1009,895.17,157.21,13.52,56.75,14.79,3.52,0.0
20200405:1109,452.83,384.07,11.41,59.13,15.44,3.31,0.0
20200405:1209,748.11,216.47,12.82,55.72,15.8,3.31,0.0
20200405:1309,71.09,348.41,6.51,47.93,15.21,3.52,0.0
20200405:1409,31.91,262.44,4.68,37.74,14.97,3.52,0.0
20200405:1509,309.58,106.99,6.37,26.39,14.76,3.17,0.0
20200405:1609,26.98,100.21,2.18,14.53,14.66,2.69,0.0
20200405:1709,0.0,7.03,0.12,2.55,13.97,2.55,0.0
20200405:1809,0.0,0.0,0.0,0.0,12.96,2.62,0.0
20200405:1909,0.0,0.0,0.0,0.0,12.08,2.69,0.0
20200405:2009,0.0,0.0,0.0,0.0,11.24,2.41,0.0
20200405:2109,0.0,0.0,0.0,0.0,10.52,2.34,0.0
20200405:2209,0.0,0.0,0.0,0.0,9.86,2.28,0.0
20200405:2309,0.0,0.0,0.0,0.0,9.41,2.21,0.0
20200406:0009,0.0,0.0,0.0,0.0,9.08,2.21,0.0
20200406:0109,0.0,0.0,0.0,0.0,8.82,2.14,0.0
20200406:0209,0.0,0.0,0.0,0.0,8.63,2.0,0.0
20200406:0309,0.0,0.0,0.0,0.0,8.7,2.0,0.0
20200406:0409,0.0,0.0,0.0,0.0,8.73,2.21,0.0
20200406:0509,0.0,15.71,0.26,5.04,8.66,2.28,0.0
20200406:0609,92.81,123.77,3.05,17.02,9.76,1.86,0.0
20200406:0709,54.72,215.11,4.09,28.83,11.48,1.17,0.0
20200406:0809,0.0,167.31,2.72,40.05,12.31,1.59,0.0
20200406:0909,21.28,310.96,5.29,49.95,12.89,1.72,0.0
20200406:1009,0.0,146.97,2.39,57.13,12.94,1.52,0.0
20200406:1109,0.0,93.36,1.52,59.51,13.13,1.52,0.0
20200406:1209,0.0,125.71,2.04,56.04,13.17,1.52,0.0
20200406:1309,17.69,297.35,5.05,48.18,13.64,1.72,0.0
20200406:1409,120.57,289.78,6.25,37.94,13.81,2.14,0.0
20200406:1509,51.34,197.24,3.95,26.56,13.62,2.55,0.0
20200406:1609,0.74,68.39,1.13,14.69,13.08,2.9,0.0
20200406:1709,0.0,5.28,0.09,2.72,12.42,3.03,0.0
20200406:1809,0.0,0.0,0.0,0.0,11.55,3.31,0.0
20200406:1909,0.0,0.0,0.0,0.0,11.16,2.34,0.0
20200406:2009,0.0,0.0,0.0,0.0,10.88,2.41,0.0
20200406:2109,0.0,0.0,0.0,0.0,10.46,2.34,0.0
20200406:2209,0.0,0.0,0.0,0.0,10.07,2.21,0.0
20200406:2309,0.0,0.0,0.0,0.0,9.73,2.07,0.0
20200407:0009,0.0,0.0,0.0,0.0,9.52,1.93,0.0
20200407:0109,0.0,0.0,0.0,0.0,9.19,2.0,0.0
20200407:0209,0.0,0.0,0.0,0.0,8.92,2.21,0.0
20200407:0309,0.0,0.0,0.0,0.0,8.69,2.28,0.0
20200407:0409,0.0,0.0,0.0,0.0,8.53,2.28,0.0
20200407:0509,3.01,27.27,0.5,5.32,8.35,2.14,0.0
20200407:0609,17.42,115.36,2.07,17.3,9.17,1.86,0.0
20200407:0709,30.71,203.86,3.65,29.12,11.96,1.24,0.0
20200407:0809,176.19,311.49,6.98,40.36,13.19,1.03,0.0
20200407:0909,1.18,241.35,3.94,50.29,14.02,0.97,0.0
20200407:1009,0.0,234.79,3.82,57.51,14.35,1.17,0.0
20200407:1109,0.0,85.97,1.4,59.88,14.37,1.1,0.0
20200407:1209,0.0,81.34,1.32,56.35,14.0,1.38,0.0
20200407:1309,0.0,62.86,1.02,48.43,14.14,1.86,0.0
20200407:1409,0.0,61.01,0.99,38.14,13.59,1.86,0.0
20200407:1509,0.96,134.07,2.19,26.74,12.86,1.66,0.0
20200407:1609,0.0,62.86,1.02,14.86,12.8,1.52,0.0
20200407:1709,0.0,5.28,0.09,2.88,12.39,1.45,0.0
20200407:1809,0.0,0.0,0.0,0.0,11.91,1.59,0.0
20200407:1909,0.0,0.0,0.0,0.0,11.82,1.17,0.0
20200407:2009,0.0,0.0,0.0,0.0,11.29,1.31,0.0
20200407:2109,0.0,0.0,0.0,0.0,10.58,1.52,0.0
20200407:2209,0.0,0.0,0.0,0.0,10.07,1.79,0.0
20200407:2309,0.0,0.0,0.0,0.0,9.75,1.93,0.0
20200408:0009,0.0,0.0,0.0,0.0,9.58,2.07,0.0
20200408:0109,0.0,0.0,0.0,0.0,9.13,2.07,0.0
20200408:0209,0.0,0.0,0.0,0.0,8.82,1.93,0.0
20200408:0309,0.0,0.0,0.0,0.0,8.3,1.79,0.0
20200408:0409,0.0,0.0,0.0,0.0,7.67,1.72,0.0
20200408:0509,27.22,25.78,0.92,5.61,7.28,1.72,0.0
20200408:0609,210.13,89.81,4.01,17.59,8.94,1.52,0.0
20200408:0709,410.49,136.71,7.13,29.41,11.87,1.24,0.0
20200408:0809,615.14,159.24,10.0,40.68,13.29,0.97,0.0
20200408:0909,775.52,170.3,12.22,50.64,14.23,0.62,0.0
20200408:1009,902.63,156.04,13.76,57.89,14.85,0.14,0.0
20200408:1109,823.53,213.86,13.7,60.26,15.18,0.62,0.0
20200408:1209,934.54,102.54,13.86,56.67,15.34,1.24,0.0
20200408:1309,775.23,110.99,12.18,48.67,15.34,1.66,0.0
20200408:1409,547.79,120.5,9.61,38.34,15.18,2.0,0.0
20200408:1509,311.64,106.71,6.54,26.91,14.57,2.55,0.0
20200408:1609,95.23,71.86,3.22,15.02,13.74,2.9,0.0
20200408:1709,0.0,12.31,0.21,3.05,12.99,2.62,0.0
20200408:1809,0.0,0.0,0.0,0.0,12.13,2.48,0.0
20200408:1909,0.0,0.0,0.0,0.0,11.77,1.79,0.0
20200408:2009,0.0,0.0,0.0,0.0,11.25,1.59,0.0
20200408:2109,0.0,0.0,0.0,0.0,10.5,1.59,0.0
20200408:2209,0.0,0.0,0.0,0.0,9.99,1.59,0.0
20200408:2309,0.0,0.0,0.0,0.0,9.74,1.59,0.0
20200409:0009,0.0,0.0,0.0,0.0,9.45,1.66,0.0
20200409:0109,0.0,0.0,0.0,0.0,9.29,1.66,0.0
20200409:0209,0.0,0.0,0.0,0.0,9.14,1.66,0.0
20200409:0309,0.0,0.0,0.0,0.0,8.83,1.72,0.0
20200409:0409,0.0,0.0,0.0,0.0,8.59,1.79,0.0
20200409:0509,26.42,33.35,0.95,5.89,8.33,1.72,0.0
20200409:0609,195.34,98.1,3.98,17.87,9.69,1.17,0.0
20200409:0709,401.84,141.28,7.13,29.7,12.47,1.24,0.0
20200409:0809,601.39,166.06,9.97,40.99,13.83,0.83,0.0
20200409:0909,716.09,203.78,11.98,50.98,14.83,0.48,0.0
20200409:1009,4.63,293.42,4.83,58.26,15.46,0.83,0.0
20200409:1109,189.64,437.57,9.26,60.63,15.87,1.24,0.0
20200409:1209,12.33,321.84,5.38,56.97,16.01,1.86,0.0
20200409:1309,455.55,287.72,10.46,48.91,15.52,2.0,0.0
20200409:1409,348.21,229.77,8.45,38.54,15.1,2.28,0.0
20200409:1509,298.76,113.06,6.48,27.08,14.68,2.69,0.0
20200409:1609,92.42,74.3,3.23,15.18,14.13,2.9,0.0
20200409:1709,0.0,12.31,0.21,3.22,13.25,2.34,0.0
20200409:1809,0.0,0.0,0.0,0.0,12.31,2.0,0.0
20200409:1909,0.0,0.0,0.0,0.0,12.11,1.79,0.0
20200409:2009,0.0,0.0,0.0,0.0,11.4,1.72,0.0
20200409:2109,0.0,0.0,0.0,0.0,10.94,1.86,0.0
20200409:2209,0.0,0.0,0.0,0.0,10.53,2.0,0.0
20200409:2309,0.0,0.0,0.0,0.0,10.19,2.07,0.0
20200410:0009,0.0,0.0,0.0,0.0,9.86,2.14,0.0
20200410:0109,0.0,0.0,0.0,0.0,9.57,2.14,0.0
20200410:0209,0.0,0.0,0.0,0.0,9.26,2.14,0.0
20200410:0309,0.0,0.0,0.0,0.0,8.9,2.07,0.0
20200410:0409,0.0,0.0,0.0,0.0,8.45,1.93,0.0
20200410:0509,30.27,35.15,1.05,6.17,8.22,1.86,0.0
20200410:0609,204.49,97.01,4.12,18.14,10.09,1.31,0.0
20200410:0709,414.16,140.16,7.31,29.99,13.3,1.03,0.0
20200410:0809,604.09,171.19,10.12,41.29,14.72,0.34,0.0
20200410:0909,744.3,195.27,12.27,51.32,15.61,0.41,0.0
20200410:1009,486.26,371.76,11.68,58.63,16.17,1.24,0.0
20200410:1109,234.4,442.24,9.86,60.99,16.42,1.86,0.0
20200410:1209,505.82,344.14,11.77,57.28,16.61,2.28,0.0
20200410:1309,444.76,297.92,10.51,49.15,16.28,3.03,0.0
20200410:1409,393.78,212.91,8.87,38.73,15.83,3.1,0.0
20200410:1509,300.16,115.58,6.58,27.25,15.57,2.69,0.0
20200410:1609,94.55,73.85,3.31,15.34,15.13,2.34,0.0
20200410:1709,0.0,14.07,0.24,3.38,14.27,2.0,0.0
20200410:1809,0.0,0.0,0.0,0.0,13.09,1.93,0.0
20200410:1909,0.0,0.0,0.0,0.0,12.27,1.79,0.0
20200410:2009,0.0,0.0,0.0,0.0,11.55,1.52,0.0
20200410:2109,0.0,0.0,0.0,0.0,10.98,1.52,0.0
20200410:2209,0.0,0.0,0.0,0.0,10.61,1.66,0.0
20200410:2309,0.0,0.0,0.0,0.0,10.2,1.79,0.0
20200411:0009,0.0,0.0,0.0,0.0,9.84,2.0,0.0
20200411:0109,0.0,0.0,0.0,0.0,9.59,2.0,0.0
20200411:0209,0.0,0.0,0.0,0.0,8.82,2.0,0.0
20200411:0309,0.0,0.0,0.0,0.0,8.47,1.93,0.0
20200411:0409,0.0,0.0,0.0,0.0,8.03,1.93,0.0
20200411:0509,0.0,20.34,0.33,6.44,7.73,1.86,0.0
20200411:0609,21.13,127.61,2.33,18.42,10.02,1.24,0.0
20200411:0709,122.96,237.87,5.26,30.27,14.22,0.83,0.0
20200411:0809,358.98,282.68,8.73,41.59,15.71,0.14,0.0
20200411:0909,515.62,306.74,11.03,51.65,16.44,1.24,0.0
20200411:1009,681.71,282.36,12.84,59.0,16.62,1.86,0.0
20200411:1109,874.98,184.91,14.12,61.36,16.89,2.07,0.0
20200411:1209,937.43,100.55,14.04,57.58,16.99,2.69,0.0
20200411:1309,723.47,143.76,12.09,49.39,16.88,2.9,0.0
20200411:1409,529.3,132.53,9.67,38.92,16.69,2.97,0.0
20200411:1509,296.89,116.09,6.58,27.42,16.18,2.97,0.0
20200411:1609,94.57,73.51,3.34,15.51,15.55,2.62,0.0
20200411:1709,0.0,14.95,0.26,3.55,14.77,2.21,0.0
20200411:1809,0.0,0.0,0.0,0.0,13.67,1.93,0.0
20200411:1909,0.0,0.0,0.0,0.0,12.42,1.66,0.0
20200411:2009,0.0,0.0,0.0,0.0,11.78,1.59,0.0
20200411:2109,0.0,0.0,0.0,0.0,11.17,1.52,0.0
20200411:2209,0.0,0.0,0.0,0.0,10.7,1.59,0.0
20200411:2309,0.0,0.0,0.0,0.0,10.26,1.52,0.0
20200412:0009,0.0,0.0,0.0,0.0,9.72,1.59,0.0
20200412:0109,0.0,0.0,0.0,0.0,9.32,1.59,0.0
20200412:0209,0.0,0.0,0.0,0.0,9.3,1.52,0.0
20200412:0309,0.0,0.0,0.0,0.0,9.44,1.38,0.0
20200412:0409,0.0,0.0,0.0,0.0,9.82,1.31,0.0
20200412:0509,34.87,36.71,1.19,6.71,9.97,1.31,0.0
20200412:0609,199.2,103.09,4.21,18.69,11.07,0.97,0.0
20200412:0709,399.57,149.34,7.34,30.55,14.3,0.76,0.0
20200412:0809,603.74,172.33,10.22,41.89,15.77,0.76,0.0
20200412:0909,771.25,178.31,12.48,51.99,16.69,0.97,0.0
20200412:1009,879.06,174.01,13.91,59.37,17.29,1.38,0.0
20200412:1109,946.1,141.33,14.51,61.72,17.59,1.59,0.0
20200412:1209,833.95,169.19,13.65,57.88,17.66,1.93,0.0
20200412:1309,753.5,125.51,12.3,49.62,17.45,2.21,0.0
20200412:1409,522.27,137.17,9.68,39.11,17.06,2.14,0.0
20200412:1509,277.06,129.12,6.51,27.59,16.59,1.79,0.0
20200412:1609,90.53,76.91,3.34,15.67,16.01,1.72,0.0
20200412:1709,0.0,17.58,0.3,3.71,15.03,1.59,0.0
20200412:1809,0.0,0.0,0.0,0.0,13.77,1.31,0.0
20200412:1909,0.0,0.0,0.0,0.0,12.72,0.41,0.0
